"","origin","destination","age","sex","year","proportion_value_em","proportion_value_im","value_est"
"1","AT","FI","Y00-04","F",2009,NA,NA,0.0315621720218478
"2","AT","FI","Y00-04","F",2010,NA,NA,0.0324275568097265
"3","AT","FI","Y00-04","F",2011,NA,NA,0.0277588177298513
"4","AT","FI","Y00-04","F",2012,NA,NA,0.0311581112186762
"5","AT","FI","Y00-04","F",2013,NA,NA,0.030181935385897
"6","AT","FI","Y00-04","F",2014,NA,NA,0.0307629754883557
"7","AT","FI","Y00-04","F",2015,NA,NA,0.0321728291774839
"8","AT","FI","Y00-04","M",2009,NA,NA,0.0343183535759287
"9","AT","FI","Y00-04","M",2010,NA,NA,0.0392558484227424
"10","AT","FI","Y00-04","M",2011,NA,NA,0.0415502107503671
"11","AT","FI","Y00-04","M",2012,NA,NA,0.034069189440946
"12","AT","FI","Y00-04","M",2013,NA,NA,0.0392270608779113
"13","AT","FI","Y00-04","M",2014,NA,NA,0.0367716626369927
"14","AT","FI","Y00-04","M",2015,NA,NA,0.0340548612896139
"15","AT","FI","Y05-09","F",2009,NA,NA,0.0181331526230763
"16","AT","FI","Y05-09","F",2010,NA,NA,0.0178765560721393
"17","AT","FI","Y05-09","F",2011,NA,NA,0.022793294632245
"18","AT","FI","Y05-09","F",2012,NA,NA,0.0193418047037132
"19","AT","FI","Y05-09","F",2013,NA,NA,0.0200993763414918
"20","AT","FI","Y05-09","F",2014,NA,NA,0.0204217305525825
"21","AT","FI","Y05-09","F",2015,NA,NA,0.0172313397961595
"22","AT","FI","Y05-09","M",2009,NA,NA,0.0234404440999735
"23","AT","FI","Y05-09","M",2010,NA,NA,0.0194327970584783
"24","AT","FI","Y05-09","M",2011,NA,NA,0.0194511158595559
"25","AT","FI","Y05-09","M",2012,NA,NA,0.0209299044842168
"26","AT","FI","Y05-09","M",2013,NA,NA,0.0208072655621476
"27","AT","FI","Y05-09","M",2014,NA,NA,0.021147483281066
"28","AT","FI","Y05-09","M",2015,NA,NA,0.0206558414153065
"29","AT","FI","Y10-14","F",2009,NA,NA,0.00991080115743615
"30","AT","FI","Y10-14","F",2010,NA,NA,0.00925423933892505
"31","AT","FI","Y10-14","F",2011,NA,NA,0.0095715199968607
"32","AT","FI","Y10-14","F",2012,NA,NA,0.00918808605347026
"33","AT","FI","Y10-14","F",2013,NA,NA,0.00986519173326631
"34","AT","FI","Y10-14","F",2014,NA,NA,0.00982301606335901
"35","AT","FI","Y10-14","F",2015,NA,NA,0.00959910927386808
